MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass;
366896710,2020-01-01T00:00:06,26.11259,-80.10809,0.0,-142.7,98.0,SPIRIT,,WDE2507,37,0,33,7,,,B;
367770270,2020-01-01T00:00:06,40.63976,-74.19116,0.0,60.2,59.0,CAPT BRIAN A MCALLIS,IMO9813632,WDJ3677,31,15,,,,,B;
366857410,2020-01-01T00:00:07,32.85428,-79.95289,0.0,-144.0,511.0,DONAL G MCALLISTER,IMO8980880,WDA8725,31,0,33,9,4.3,52,B;
368108120,2020-01-01T00:00:10,35.08342,-90.16808,0.6,-155.0,224.0,PORTER J. FURLONG,,WDK9974,31,0,56,16,3.0,31,B;
367390380,2020-01-01T00:00:04,47.63538,-122.32879,0.0,-108.5,511.0,SEAFREEZE ALASKA,IMO6931043,WDE7203,30,0,89,13,5.8,,B;
367543880,2020-01-01T00:00:04,40.11880,-79.86158,0.0,-49.6,511.0,CONNIE K,,WDG5156,31,0,30,8,,,B;
367556020,2020-01-01T00:00:06,28.91967,-95.34631,0.0,-156.8,236.0,SAVAGE SPIRIT,,WDG6346,31,15,25,,,,B;
367726950,2020-01-01T00:00:11,27.81500,-97.42053,0.0,-49.6,260.0,GAIL CECILIA,,WDI7262,31,15,,,,,A;
338087003,2020-01-01T00:00:09,29.70994,-94.99768,0.0,-173.3,511.0,BRIDIE,,,37,,12,,,,B;
367302470,2020-01-01T00:00:11,25.78120,-80.15423,0.1,49.8,359.0,ELECTRA,,WDD8764,37,1,26,6,,37,A;
367404910,2020-01-01T00:00:12,29.37521,-94.86629,0.0,96.5,63.0,SAN BRENDAN,,WDE8388,31,12,24,9,,31,B;
367321070,2020-01-01T00:00:11,38.80916,-82.19286,6.5,57.7,511.0,DREMA G WOODS,,WDE2147,31,0,32,8,,31,B;
367157090,2020-01-01T00:00:01,27.84871,-97.06269,0.0,101.1,511.0,COASTAL DAWN,IMO8644589,WDD5358,31,0,19,7,,,B;
367033250,2020-01-01T00:00:12,29.11197,-89.20762,0.0,191.3,511.0,KYLE JOSEPH,,WDC4945,31,0,21,8,5.0,31,B;
367550490,2020-01-01T00:00:03,33.19886,-87.63944,0.0,183.2,103.0,NICK CIMO,,WDG5808,31,0,27,,,,B;
367371850,2020-01-01T00:00:05,39.44567,-75.99117,0.0,-97.7,128.0,SASSAFRAS,IMO9544243,WDE5807,31,0,29,9,3.6,31,B;
366014000,2020-01-01T00:00:06,28.79047,-89.05681,0.2,-191.6,230.0,ODYSSEA KNIGHT,IMO9302279,KBAF,90,0,80,16,5.8,70,B;
367693160,2020-01-01T00:00:06,29.67789,-91.46483,3.0,114.4,115.0,CECIL V NEAL,,WDI3906,31,15,23,,,,B;
367666060,2020-01-01T00:00:08,33.91670,-78.02334,0.0,-163.6,511.0,CAPE FEAR PILOT III,,WDH9241,,15,15,,,,B;
367052120,2020-01-01T00:00:08,28.89496,-95.40501,0.0,-157.3,50.0,JAMES L OBERSTAR,,WDC6154,31,0,25,9,,31,B;
